bowler,RunsGiven,BallsBowled,Overs,EconomyRate
A Kumble,1089,983,163.83333333333334,6.646998982706002
M Muralitharan,1765,1581,263.5,6.698292220113852
SP Narine,4672,4146,691.0,6.7612156295224315
DW Steyn,2583,2282,380.3333333333333,6.791411042944786
DL Vettori,894,785,130.83333333333334,6.83312101910828
Rashid Khan,3340,2901,483.5,6.907962771458118
J Botha,818,709,118.16666666666667,6.922425952045134
R Ashwin,5435,4679,779.8333333333334,6.969437914084206
MM Ali,900,770,128.33333333333334,7.012987012987012
SL Malinga,3486,2974,495.6666666666667,7.032952252858103
